CSD_identifier,la_smiles,ca_class,la_atom_count,picked_for_fia_calculation,la_xyz_successfully_generated,part_of_the_final_fia2k_csd_dataset
ASARUK,[H]O[C@]1(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])[C@@]1(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])B1OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O1,B(III),56.0,False,not_attempted,False
ASILEU,[H]/C(=C(\B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],B(III),50.0,True,True,False
ASIVUU,[H]c1c([H])c(-c2c([H])c([H])c([H])c3c([H])c([H])c([H])c(-c4c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c4[H])c23)c([H])c([H])c1B(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],B(III),86.0,False,not_attempted,False
ASODOC,[H]c1c([H])c(-c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c([H])c([H])c1B(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],B(III),71.0,False,not_attempted,False
ASODUI,[H]c1c([H])c(-c2c([H])c([H])c(-c3c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c3C([H])([H])[H])c([H])c2[H])c([H])c([H])c1B(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],B(III),81.0,False,not_attempted,False
ASOFAQ,[H]c1c([H])c(-c2c([H])c([H])c(-c3c([H])c([H])c(-c4c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c4C([H])([H])[H])c([H])c3[H])c([H])c2[H])c([H])c([H])c1B(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],B(III),91.0,False,not_attempted,False
ASOSAC,[H]/C(=C(\OB(c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H])c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H],B(III),96.0,False,not_attempted,False
ASUXAQ,[H]c1c(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c([H])c2c(c1[H])c([H])c([H])c1c([H])c([H])c3c([H])c4c([H])c([H])c5c([H])c([H])c6c([H])c([H])c7c([H])c([H])c([H])c8c7c6c5c4c8c3c12,B(III),72.0,False,not_attempted,False
ATEWOO,[H]c1c([H])c([H])c2c(c1[H])OB(c1c([H])n(C([H])([H])[H])c3c([H])c([H])c(Br)c([H])c13)O2,B(III),31.0,False,not_attempted,False
ATEXOP,[H]c1c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c(N2B(Br)N(c3c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c3C([H])(C([H])([H])[H])C([H])([H])[H])C3=C2c2c([H])c([H])c([H])c4c(Br)c([H])c([H])c3c24)c(C([H])(C([H])([H])[H])C([H])([H])[H])c1[H],B(III),80.0,True,True,False
